ClaimNumber,DateOfLoss,DateReported,ClaimStatus,CauseOfLoss,Location,PaidIndemnity,PaidExpense,ReserveIndemnity,ReserveExpense
CLM-2024-001,2024-01-05,2024-01-07,Closed,Slip & Fall,New York,45000,8500,0,0
CLM-2024-002,2024-01-08,2024-01-09,Closed,Water Damage,Chicago,32000,6200,0,0
CLM-2024-003,2024-01-12,2024-01-15,Open,Fire,Miami,65000,12000,25000,5000
CLM-2024-004,2024-01-15,2024-01-16,Closed,Auto Collision,Los Angeles,28000,5500,0,0
CLM-2024-005,2024-01-18,2024-01-20,Open,Theft,Houston,0,2000,15000,3000
CLM-2024-006,2024-01-22,2024-01-23,Closed,Slip & Fall,Phoenix,38000,7200,0,0
CLM-2024-007,2024-01-25,2024-01-26,Closed,Water Damage,Philadelphia,42000,8000,0,0
CLM-2024-008,2024-01-28,2024-01-30,Open,Auto Collision,San Antonio,35000,6500,18000,4000
CLM-2024-009,2024-02-01,2024-02-02,Closed,Fire,San Diego,88000,15000,0,0
CLM-2024-010,2024-02-04,2024-02-06,Open,Theft,Dallas,0,1500,12000,2500
CLM-2024-011,2024-02-07,2024-02-08,Closed,Slip & Fall,San Jose,52000,9500,0,0
CLM-2024-012,2024-02-10,2024-02-12,Closed,Water Damage,Austin,29000,5800,0,0
CLM-2024-013,2024-02-13,2024-02-14,Open,Auto Collision,Jacksonville,42000,7800,22000,4500
CLM-2024-014,2024-02-16,2024-02-18,Closed,Fire,Fort Worth,95000,18000,0,0
CLM-2024-015,2024-02-19,2024-02-20,Open,Theft,Columbus,0,1800,10000,2000
CLM-2024-016,2024-02-22,2024-02-23,Closed,Slip & Fall,Charlotte,41000,7800,0,0
CLM-2024-017,2024-02-25,2024-02-27,Closed,Water Damage,Indianapolis,36000,6800,0,0
CLM-2024-018,2024-02-28,2024-03-01,Open,Auto Collision,Seattle,48000,8900,20000,4200
CLM-2024-019,2024-03-02,2024-03-04,Closed,Fire,Denver,72000,13500,0,0
CLM-2024-020,2024-03-05,2024-03-06,Open,Theft,Boston,0,2200,18000,3500
CLM-2024-021,2024-03-08,2024-03-09,Closed,Slip & Fall,Detroit,44000,8200,0,0
CLM-2024-022,2024-03-11,2024-03-13,Closed,Water Damage,Nashville,31000,6000,0,0
CLM-2024-023,2024-03-14,2024-03-15,Open,Auto Collision,Portland,39000,7200,16000,3500
CLM-2024-024,2024-03-17,2024-03-19,Closed,Fire,Memphis,81000,14500,0,0
CLM-2024-025,2024-03-20,2024-03-21,Open,Theft,Baltimore,0,1700,14000,2800
CLM-2024-026,2024-03-23,2024-03-24,Closed,Slip & Fall,Milwaukee,47000,8800,0,0
CLM-2024-027,2024-03-26,2024-03-28,Closed,Water Damage,Albuquerque,34000,6500,0,0
CLM-2024-028,2024-03-29,2024-03-30,Open,Auto Collision,Las Vegas,51000,9400,24000,5000
CLM-2024-029,2024-04-01,2024-04-03,Closed,Fire,Tucson,68000,12800,0,0
CLM-2024-030,2024-04-04,2024-04-05,Open,Theft,Fresno,0,1900,11000,2200
CLM-2024-031,2024-04-07,2024-04-08,Closed,Slip & Fall,Sacramento,43000,8000,0,0
CLM-2024-032,2024-04-10,2024-04-12,Closed,Water Damage,Kansas City,37000,7000,0,0
CLM-2024-033,2024-04-13,2024-04-14,Open,Auto Collision,Mesa,46000,8500,19000,4000
CLM-2024-034,2024-04-16,2024-04-18,Closed,Fire,Atlanta,92000,17000,0,0
CLM-2024-035,2024-04-19,2024-04-20,Open,Theft,Omaha,0,2100,16000,3200
CLM-2024-036,2024-04-22,2024-04-23,Closed,Slip & Fall,Colorado Springs,49000,9200,0,0
CLM-2024-037,2024-04-25,2024-04-27,Closed,Water Damage,Raleigh,33000,6300,0,0
CLM-2024-038,2024-04-28,2024-04-29,Open,Auto Collision,Long Beach,44000,8100,21000,4300
CLM-2024-039,2024-05-01,2024-05-03,Closed,Fire,Virginia Beach,76000,14000,0,0
CLM-2024-040,2024-05-04,2024-05-05,Open,Theft,Oakland,0,1600,13000,2600
CLM-2024-041,2024-05-07,2024-05-08,Closed,Slip & Fall,Minneapolis,46000,8600,0,0
CLM-2024-042,2024-05-10,2024-05-12,Closed,Water Damage,Tampa,35000,6700,0,0
